position_id,win,win_g,win_bg,lose_g,lose_bg
4HPhASjgc/ABMA,0.47145063,0.121913575,0.0046296297,0.16743827,0.012345679
4HPwARHgc/ABMA,0.50077164,0.13425925,0.0061728396,0.13348766,0.008487654
sGfwATDgc+EBKA,0.48533952,0.14274691,0.0061728396,0.16666667,0.010030864
4HPiASjgc+EBKA,0.5478395,0.17052469,0.012345679,0.13348766,0.0054012346
4HPDQRCwZ/ABMA,0.55478394,0.20987654,0.011574074,0.12345679,0.009259259
hmfhASiwZ/ABMA,0.5694444,0.19135803,0.008487654,0.16666667,0.010030864
sOfgASTgc8NBEA,0.5501543,0.1558642,0.010030864,0.12268519,0.008487654
aOfgATDgc8NBEA,0.53472227,0.16203704,0.011574074,0.14506173,0.0061728396
sGfDQRCw5+ABJA,0.47453704,0.15817901,0.0069444445,0.14506173,0.0061728396
4HPDCQiw5+ABJA,0.55246913,0.20061728,0.0077160494,0.10570988,0.0069444445
sNfBASSwZ8MBSA,0.54861116,0.1867284,0.015432099,0.14737654,0.0077160494
Ys/gASSwZ8MBYA,0.53858024,0.1728395,0.012345679,0.18132716,0.008487654
sGfDAUiw18EBJA,0.5717592,0.22685185,0.013117284,0.13348766,0.0069444445
2NbBASSwZ8MBSA,0.41820988,0.12962963,0.0069444445,0.20524691,0.013117284
8LbBASKwZ8MBSA,0.4699074,0.14274691,0.010030864,0.1875,0.0146604935
sGfDAUjwtsEBIg,0.5941358,0.24537037,0.011574074,0.11574074,0.0046296297
xq3BASKwZ8MBYA,0.43209878,0.13657407,0.009259259,0.32175925,0.010030864
8LbBAyCwZ8MBSA,0.40046299,0.10030864,0.0046296297,0.18904321,0.008487654
sGfDASLGrcEBIg,0.53626543,0.2507716,0.010802469,0.14429012,0.0077160494
xm2DAQqwZ8MBIg,0.51311725,0.17978394,0.010802469,0.19521604,0.0077160494
xpvBCSCwZ8MBIg,0.5285494,0.16280864,0.010030864,0.19212963,0.013117284
sNeGAQbGbYMBCg,0.5277778,0.16435185,0.0077160494,0.12114197,0.0046296297
zM7CASLGbYMBQg,0.5,0.20679013,0.018518519,0.18981482,0.011574074
xt2BAQaw14YBBg,0.5601852,0.10570987,0.0054012346,0.0941358,0.0023148148
xjuDAQaw14YBBg,0.53086424,0.10493827,0.0054012346,0.0949074,0.0015432099
cLcNAQbGO4MBBg,0.44290125,0.09259259,0.00077160494,0.13194445,0.009259259
Ym+GAQbGO4MBBg,0.5138889,0.11265432,0.0046296297,0.11805555,0.0046296297
xjtDCQRwtw0AQw,0.49922842,0.14891976,0.010030864,0.17515433,0.010030864
xnsGAQZwtw0AQw,0.5717592,0.13194445,0.0069444445,0.12114198,0.0015432099
6G4LACPGO0MJQA,0.49459878,0.22762345,0.010802469,0.16975309,0.0146604935
4bYNACPGO0MJBA,0.61728394,0.19521604,0.008487654,0.10570988,0.0061728396
xjtDGQBwtwWAUQ,0.31944442,0.06712963,0.008487654,0.27314815,0.018518519
xnsGCQRwtwWAUQ,0.43595678,0.11728395,0.013888889,0.2978395,0.021604938
