position_id,win,win_g,win_bg,lose_g,lose_bg
bPdVAACvAAAAAA,1.0,0.32330248,0.0,0.0,0.0
7O4TAgCvAAAAAA,1.0,0.37885803,0.0,0.0,0.0
VH+rAABtdTAHAA,0.47685185,0.0,0.0,0.0,0.0
6P5sAABtdTAHAA,0.47762346,0.0,0.0,0.0,0.0
bXVhBgDo/mwAAA,0.5740741,0.0,0.0,0.0,0.0
be0gBwDo/mwAAA,0.57330245,0.0,0.0,0.0,0.0
1PsrAABt3REGAA,0.5910494,0.0,0.0,0.0,0.0
rPtTAABt3REGAA,0.5925926,0.0,0.0,0.0,0.0
ug0AAN7tAAAAAA,0.36805555,0.0,0.0,0.0,0.0
tg4AAN7tAAAAAA,0.37654322,0.0,0.0,0.0,0.0
FQAAoAEAAAAAAA,0.8541667,0.0,0.0,0.0,0.0
eHtKBQB7GwAAAA,1.0,0.5138889,0.0,0.0,0.0
uHuWIAB7GwAAAA,1.0,0.4853395,0.0,0.0,0.0
d62jAAD7dQIDAA,0.5964506,0.0,0.0,0.0,0.0
d7ZTAAD7dQIDAA,0.58487654,0.0,0.0,0.0,0.0
3wAAALsAAAAAAA,0.9683642,0.0,0.0,0.0,0.0
fwEAAHYBAAAAAA,0.9683642,0.0,0.0,0.0,0.0
betBAQHbNgAAAA,1.0,0.29012346,0.0,0.0,0.0
bvMkIQDbNgAAAA,1.0,0.28317901,0.0,0.0,0.0
WwMAAF0CAAAAAA,0.89660496,0.0,0.0,0.0,0.0
ewUAALoEAAAAAA,0.9050926,0.0,0.0,0.0,0.0
mw2mSAL77gAAAA,1.0,0.9421296,0.0,0.0,0.0
mw2m4AD77gAAAA,1.0,0.94598764,0.0,0.0,0.0
u3YzAAC1e1MAAA,0.4830247,0.0,0.0,0.0,0.0
u3orAAC1e1MAAA,0.4814815,0.0,0.0,0.0,0.0
HRcAAGx9AQAAAA,0.16589506,0.0,0.0,0.0,0.0
Oy0AANj6AgAAAA,0.1736111,0.0,0.0,0.0,0.0
GwAAQHUAAAAAAA,0.06635802,0.0,0.0,0.0,0.0
FwAAQHUAAAAAAA,0.06635802,0.0,0.0,0.0,0.0
tuuIBQBlndMBAA,0.4050926,0.0,0.0,0.0,0.0
1nUOBQBlndMBAA,0.38734567,0.0,0.0,0.0,0.0
PQAAALZPJyAAAA,0.0,0.0,0.0,0.9537037,0.0
dwAAAGyfTkAAAA,0.0,0.0,0.0,0.9560185,0.0
dtvKAABbeY4IAA,0.38117284,0.0,0.0,0.0,0.0
tt6ZAABbeY4IAA,0.37345678,0.0,0.0,0.0,0.0
lwAAwO62IEAAAA,0.0,0.0,0.0,0.44444445,0.0
rwAAgN1tQYAAAA,0.0,0.0,0.0,0.43287036,0.0
2N4eAAG7FwAAAA,1.0,0.72762346,0.0,0.0,0.0
tL0GBwC7FwAAAA,1.0,0.7345679,0.0,0.0,0.0
W2sjJAA2bz4AAA,0.73996913,0.0,0.0,0.0,0.0
W+siKAA2bz4AAA,0.7291667,0.0,0.0,0.0,0.0
W+viAAC23jMAAA,0.7060185,0.0,0.0,0.0,0.0
W9slIAC23jMAAA,0.69135803,0.0,0.0,0.0,0.0
pQEAQKMAAAAAAA,0.7669753,0.0,0.0,0.0,0.0
ZgEAQKMAAAAAAA,0.7492284,0.0,0.0,0.0,0.0
a1ecAQBmPYMHAA,0.12885803,0.0,0.0,0.0,0.0
2b2RAQBmPYMHAA,0.12037037,0.0,0.0,0.0,0.0
f3aQAATvBgAAAA,1.0,0.50385803,0.0,0.0,0.0
f3WgAATvBgAAAA,1.0,0.50308645,0.0,0.0,0.0
83rDAAB3p4MEAA,0.6550926,0.0,0.0,0.0,0.0
87yTAAB3p4MEAA,0.6589506,0.0,0.0,0.0,0.0
904AALDmAgAAAA,0.7623457,0.0,0.0,0.0,0.0
+04AALDmAgAAAA,0.77237654,0.0,0.0,0.0,0.0
2XYAANi1bwAAAA,0.18518518,0.0,0.0,0.0,0.0
tdsAALBr3wAAAA,0.18595679,0.0,0.0,0.0,0.0
2TYAAGztCwAAAA,0.20601852,0.0,0.0,0.0,0.0
tVsAANjaFwAAAA,0.22839506,0.0,0.0,0.0,0.0
3PYpAAJ3AwAAAA,1.0,0.7037037,0.0,0.0,0.0
3PYJIgB3AwAAAA,1.0,0.6666667,0.0,0.0,0.0
